Product Code,Description,UoM,Category,Image,Brand
2905,BUDWEISER 330ML BOTTLE,Pcs,Beer,/files/media/product/BUDWEISER 330ML BOTTLE.webp,Budweiser
2906,BUDWEISER 500ML CAN,Pcs,Beer,/files/media/product/BUDWEISER 500ML CAN.webp,Budweiser
2902,EMBER PINE POA 250 ML,Pcs,Gin,/files/media/product/EMBER PINE POA 250 ML.webp,EMBER
2903,EMBER PINE POA 750 ML,Pcs,Gin,/files/media/product/EMBER PINE POA 750 ML.avif,EMBER
2408,GUINESS CAN SMOOTH 330ML CAN,Pcs,Beer,/files/media/product/GUINESS CAN SMOOTH 330ML CAN.webp,Guiness
2834,JINRO BLUE SOJU 360ML,Pcs,Soju,/files/media/product/JINRO BLUE SOJU 360ML.webp,Jinro
2832,JINRO CHAMISUL FRESH SOJU 360 ML,Pcs,Soju,/files/media/product/JINRO CHAMISUL FRESH SOJU 360 ML.jpg,Jinro
2833,JINRO CHAMISUL ORIGINAL SOJU 350 ML,Pcs,Soju,/files/media/product/JINRO CHAMISUL ORIGINAL SOJU 350 ML.jpg,Jinro
2413,JINRO GRAPE FRUIT SOJU 360,Pcs,Soju,/files/media/product/JINRO GRAPE FRUIT SOJU 360.jpg,Jinro
2410,JINRO GREEN GRAPE 360ML,Pcs,Soju,/files/media/product/JINRO GREEN GRAPE 360ML.jpg,Jinro
2900,JINRO LEMON SOJU 350ML,Pcs,Soju,/files/media/product/JINRO LEMON SOJU 350ML.jpg,Jinro
2411,JINRO PEACH 360ML,Pcs,Soju,/files/media/product/JINRO PEACH 360ML.jpg,Jinro
2412,JINRO PLUM SOJU 360ML,Pcs,Soju,/files/media/product/JINRO PLUM SOJU 360ML.png,Jinro
2414,JINRO STRAWBERRY 360ML,Pcs,Soju,/files/media/product/JINRO STRAWBERRY 360ML.webp,Jinro
2904,KO LIME AND GINGER 330 ML CAN,Pcs,Breezer,/files/media/product/KO LIME AND GINGER 330 ML CAN.jpg,Kenyan Originals
2482,OJ 20% BEER,Pcs,Beer,/files/media/product/OJ 20% BEER.webp,OJ
2911,ROYAL CIRCLE WHISKY COLA 330ML,Pcs,whisky,/files/media/product/ROYAL CIRCLE WHISKY COLA 330ML.avif,ROYAL CIRCLE
2430,SMIRNOFF - ICE GUARANA 330ML,Pcs,Breezer,/files/media/product/SMIRNOFF - ICE GUARANA 330ML.webp,Smirnoff
2845,SMIRNOFF ICE RASBERRY CAN 330ML,Pcs,Breezer,/files/media/product/SMIRNOFF ICE RASBERRY CAN 330ML.jpg,Smirnoff
2922,TUBORG GREEN BOTTLE 330ML,Pcs,Beer,/files/media/product/TUBORG GREEN BOTTLE 330ML.jpg,Tuborg
2020,TUBORG GREEN CAN 500ML,Pcs,Beer,/files/media/product/TUBORG GREEN CAN 500ML.webp,Tuborg
2126,WINDHOEK LAGER 33OML,Pcs,Beer,/files/media/product/WINDHOEK LAGER 33OML.jpg,Windhoek
174,BARDINET BRANDY VSOP 1ltr,Pcs,Brandy,/files/media/product/BARDINET BRANDY VSOP 1ltr.jpg,BARDINET
2388,CICERO BRANDY 250ML,Pcs,Brandy,/files/media/product/CICERO BRANDY 250ML.webp,CICERO
2477,JP CHENET VS 700ML,Pcs,Cognac,/files/media/product/JP CHENET VS 700ML.jpeg,JP CHENET
2415,LIBERTY SPIRIT 250ML,Pcs,Spirit,/files/media/product/LIBERTY SPIRIT 250ML.webp,LIBERTY
1267,LAURENT- PERRIER ROSE CHAMPAGNE 750ML,Pcs,Wine,/files/media/product/LAURENT- PERRIER ROSE CHAMPAGNE 750ML.jpg,Laurent Perrier
2305,LUC BELAIRE RARE BRUT 750ML,Pcs,Wine,/files/media/product/LUC BELAIRE RARE BRUT 750ML.jpg,Luc Belaire
1323,LUC BELAIRE RARE ROSE 750ML,Pcs,Wine,/files/media/product/LUC BELAIRE RARE ROSE 750ML.jpeg,Luc Belaire
2374,LUC BELAIRE ROSE 1.5LTR,Pcs,Wine,/files/media/product/LUC BELAIRE ROSE 1.5LTR.jpg,Luc Belaire
1450,MOET & CHANDON BRUT IMPERIAL 750ML,Pcs,Wine,/files/media/product/MOET & CHANDON BRUT IMPERIAL 750ML.jpeg,Moet & Chandon
1444,MOET & CHANDON ICE IMPERIAL 750ML,Pcs,Wine,/files/media/product/MOET & CHANDON ICE IMPERIAL 750ML.jpeg,Moet & Chandon
1454,MOET & CHANDON NECTAR IMPERIAL 750ml,Pcs,Wine,/files/media/product/MOET & CHANDON NECTAR IMPERIAL 750ml.webp,Moet & Chandon
1449,MOET & CHANDON NECTAR IMPERIAL ROSE 750ML,Pcs,Wine,/files/media/product/MOET & CHANDON NECTAR IMPERIAL ROSE 750ML.webp,Moet & Chandon
1453,MOET & CHANDON ROSE IMPERIAL 750ml,Pcs,Wine,/files/media/product/MOET & CHANDON ROSE IMPERIAL 750ml.jpg,Moet & Chandon
2580,KO DRY CIDER 500ML,Pcs,Cider,/files/media/product/KO DRY CIDER 500ML.jpg,Kenyan Originals
2407,KO HONEY & LEMON 330ML,Pcs,Cider,/files/media/product/KO HONEY & LEMON 330ML.jpeg,Kenyan Originals
2406,KO PASSION FRUIT & LIME CAN 330ML,Pcs,Cider,/files/media/product/KO PASSION FRUIT & LIME CAN 330ML.png,Kenyan Originals
2405,KO PINEAPPLE & MINT CAN 330ML,Pcs,Cider,/files/media/product/KO PINEAPPLE & MINT CAN 330ML.jpg,Kenyan Originals
2399,MANYATTA CAN PINEAPPLE & MINT 330ML,Pcs,Cider,/files/media/product/MANYATTA CAN PINEAPPLE & MINT 330ML.webp,MANYATTA
2329,Snapp Dry Cider 330ml,Pcs,cider,/files/media/product/Snapp Dry Cider 330ml.png,SNAPP
2368,DUNHILL SINGLE SWITCH,Pcs,Cigarette,/files/media/product/DUNHILL SINGLE SWITCH.jpg,DUNHILL
1864,SPORTSMAN KING SIZE,Pcs,Cigarette,/files/media/product/SPORTSMAN KING SIZE.jpeg,SPORTSMAN
2846,CHATEAU MONTIFAUD VSOP 700ML,Pcs,cognac,/files/media/product/CHATEAU MONTIFAUD VSOP 700ML.jpeg,CHATEAU
2848,GLENMORANGIE 18YRS THE INFINITA 700ML,Pcs,whisky,/files/media/product/GLENMORANGIE 18YRS THE INFINITA 700ML.png,GLENMORANGIE
2804,HENNESSY PURE WHITE 700ML,Pcs,cognac,/files/media/product/HENNESSY PURE WHITE 700ML.webp,Hennessy
2847,JACK DANIEL'S APPLE 350ML,Pcs,whisky,/files/media/product/JACK DANIEL'S APPLE 350ML.webp,Jack daniel's
2851,MARTEL NOBLIGE 1 LITRE,Pcs,cognac,/files/media/product/MARTEL NOBLIGE 1 LITRE.webp,MARTELL
2455,MARTEL XO 1LTR,Pcs,cognac,/files/media/product/MARTEL XO 1LTR.jpeg,MARTELL
2810,MENARD VSOP 700ML,Pcs,cognac,/files/media/product/MENARD VSOP 700ML.webp,MENARD
2808,MONTIFAUD VSOP 700ML,Pcs,cognac,/files/media/product/MONTIFAUD VSOP 700ML.jpg,MONTIFAUD
2809,MOULLON VSOP 700ML,Pcs,cognac,/files/media/product/MOULLON VSOP 700ML.jpeg,MOULLON
2843,AMARULA RASPBERRY CHOCOLATE 750ML,Pcs,Cream,/files/media/product/AMARULA RASPBERRY CHOCOLATE 750ML.webp,AMARULA
749,FOUR COUSINS MARULA CREAM 500ML,Pcs,Cream,/files/media/product/FOUR COUSINS MARULA CREAM 500ML.webp,FOUR COUSINS
2874,AVALON GIN 250ML,Pcs,Gin,/files/media/product/AVALON GIN 250ML.jpg,AVALON
2876,AVALON GIN 750ML,Pcs,Gin,/files/media/product/AVALON GIN 750ML.avif,AVALON
2811,BOMBAY SAPPHIRE PREMIER CRU 700ML,Pcs,Gin,/files/media/product/BOMBAY SAPPHIRE PREMIER CRU 700ML.webp,BOMBAY
2812,BOMBAY SAPPHIRE SUNSET SPERCIAL 500ML,Pcs,Gin,/files/media/product/BOMBAY SAPPHIRE SUNSET SPERCIAL 500ML.webp,BOMBAY
2713,CARIBIA GIN 250ML,Pcs,Gin,/files/media/product/CARIBIA GIN 250ML.jpeg,CARIBIA
2714,CARIBIA GIN 750ML,Pcs,Gin,/files/media/product/CARIBIA GIN 750ML.jpg,CARIBIA
2404,CRUXLAND TUFFLE GIN 750ML,Pcs,Gin,/files/media/product/CRUXLAND TUFFLE GIN 750ML.png,CRUXLAND
2840,DRUMSHANBO GUN POWDER ORANGE CITRUS 700ML,Pcs,Gin,/files/media/product/DRUMSHANBO GUN POWDER ORANGE CITRUS 700ML.webp,DRUMSHANBO
2841,DRUMSHANBO GUN POWDER ORIENTAL BOTANICAL 700ML,Pcs,Gin,/files/media/product/DRUMSHANBO GUN POWDER ORIENTAL BOTANICAL 700ML.webp,DRUMSHANBO
2839,DRUMSHANBO GUN POWDER SARDINIAN CITRUS 700ML,Pcs,Gin,/files/media/product/DRUMSHANBO GUN POWDER SARDINIAN CITRUS 700ML.jpg,DRUMSHANBO
819,GIBSON ORANGE 700ml,Pcs,Gin,/files/media/product/GIBSON ORANGE 700ml.webp,Gibson's
2867,GILBEYS BERRY 750ML,Pcs,Gin,/files/media/product/GILBEYS BERRY 750ML.webp,GILBEYS
2223,GILBEYS PINK 250ML,Pcs,Gin,/files/media/product/GILBEYS PINK 250ML.png,GILBEYS
2192,GORDONS LEMON 1LTR,Pcs,Gin,/files/media/product/GORDONS LEMON 1LTR.jpeg,Gordon's
2817,HAYMAN'S LONDON DRY GIN 700ML,Pcs,Gin,/files/media/product/HAYMAN'S LONDON DRY GIN 700ML.jpg,Haymans
2818,HAYMAN'S OLD TOM 700ML,Pcs,Gin,/files/media/product/HAYMAN'S OLD TOM 700ML.png,Haymans
2819,HAYMAN'S SLOE GIN 700ML,Pcs,Gin,/files/media/product/HAYMAN'S SLOE GIN 700ML.webp,Haymans
2576,HENKES GIN 750ML,Pcs,Gin,/files/media/product/HENKES GIN 750ML.png,HENKES
1087,JJ WHITLEY NEIL LONDON DRY GIN 750ML,Pcs,Gin,/files/media/product/JJ WHITLEY NEIL LONDON DRY GIN 750ML.jpg,WHITLEY NEIL
1088,JJ WHITLEY NEIL PINK CHERRY GIN 750ML,Pcs,Gin,/files/media/product/JJ WHITLEY NEIL PINK CHERRY GIN 750ML.jpg,WHITLEY NEIL
2835,KO LEMON CELLO 10% GIN COCKTAIL 330ML CAN,Pcs,Breezer,/files/media/product/KO LEMON CELLO 10% GIN COCKTAIL 330ML CAN.jpg,Kenyan Originals
1481,MR. BOSTON GIN 1ltr,Pcs,Gin,/files/media/product/MR. BOSTON GIN 1ltr.jpeg,MR BOSTON
2279,MUSGRAVE PINK GIN 750ML,Pcs,Gin,/files/media/product/MUSGRAVE PINK GIN 750ML.jpeg,MUSGRAVE
2549,PERIGANS LONDON 700ML,Pcs,Gin,/files/media/product/PERIGANS LONDON 700ML.jpeg,PERIGANS
2570,SIX DOGS KAROO 750ML,Pcs,Gin,/files/media/product/SIX DOGS KAROO 750ML.png,SIX DOGS
1933,TANQUERAY - IMPORTED 1LT,Pcs,Gin,/files/media/product/TANQUERAY - IMPORTED 1LT.jpg,Tanqueray
2317,TANQUERAY MALACCA 700ML,Pcs,Gin,/files/media/product/TANQUERAY MALACCA 700ML.webp,Tanqueray
1934,TANQUERAY SEVILLA GIN 1LTR,Pcs,Gin,/files/media/product/TANQUERAY SEVILLA GIN 1LTR.jpg,Tanqueray
1935,TANQUERAY STERLING 1LTR,Pcs,Gin,/files/media/product/TANQUERAY STERLING 1LTR.webp,Tanqueray
2447,VALE PINK GIN 750ML,Pcs,Gin,/files/media/product/VALE PINK GIN 750ML.jpeg,VALE
2492,VICTORIA STAG GIN 750ML,Pcs,Gin,/files/media/product/VICTORIA STAG GIN 750ML.jpg,VICTORIA STAG
2318,WHITLEY NEIL PARMA VIOLET 1LTR,Pcs,Gin,/files/media/product/WHITLEY NEIL PARMA VIOLET 1LTR.jpg,WHITLEY NEIL
2353,BARDINET BLUE CURACAO 750ML,Pcs,Liqueur,/files/media/product/BARDINET BLUE CURACAO 750ML.jpeg,BARDINET
2352,BARDINET CHERRY 750ML,Pcs,Liqueur,/files/media/product/BARDINET CHERRY 750ML.jpg,BARDINET
2350,BARDINET CREME DE BANANA 750ML,Pcs,Liqueur,/files/media/product/BARDINET CREME DE BANANA 750ML.png,BARDINET
2440,BARDINET CREME DE CAFE 750ML,Pcs,Liqueur,/files/media/product/BARDINET CREME DE CAFE 750ML.jpg,BARDINET
